seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw
4540,1724915343358057901,-0.4842019081115722,0.1392404437065124,0.1675937920808792,-0.0538085736334323,-0.0182611159980297,-0.3057244122028351,0.9504229426383972,0.0,0.0,0.0,0.5248657403912684,0.082944417783731,-0.0918459959729802,22.654609208,0.2735477384137456,0.2634689829801891,0.4018461721190901,20.329707827125073,15.85336560737987,5.711865473081794,-0.0914524772074402,-0.0676643776758249,-0.6193403621021148,-0.0041058059174758,-0.067880666884756,0.0789101991013527,47.66314299169347,37.2051171657023,-19.330619540377313,0.0004770520891652
4542,1724915343368483216,-0.4841684103012085,0.1387358754873275,0.1683257073163986,-0.0514145754277706,-0.0176396891474723,-0.3057022988796234,0.9505743980407716,0.0,0.0,0.0,0.5939910801290976,0.6127867038176045,-0.8713867040642134,22.665034523,0.4016912436340986,0.2540159004256325,0.0109429090818995,4.453228054362288,-4.280887130110864,-17.028153193424842,-0.0872565780148526,-0.0650165777767166,-0.6194634237412926,0.0035635909289517,-0.0546785912018794,0.0642770364963105,-12.896891589236777,-36.0122423473559,-0.8190629464924171,0.0006727581422682
4544,1724915343379095553,-0.4841268062591553,0.1380877643823623,0.1689437925815582,-0.0493026636540889,-0.0173482969403266,-0.3054554760456085,0.9507708549499512,0.0,0.0,0.0,0.2461757941925439,-0.7074400139214894,-0.0811667008190286,22.67564686,0.3642750172792779,0.1721357706108778,0.0513381991265592,-8.049982456100372,-7.147272446563582,0.5277181152679887,-0.0834155891039816,-0.0631500119610309,-0.6190753654837897,0.0083369092766751,-0.0552357268174059,0.0607791325397419,-39.90964358867977,-80.91583562223181,9.71124464734853,0.0005469590740348
4546,1724915343390924514,-0.4839699566364288,0.1375113278627395,0.1696961969137191,-0.0479547902941703,-0.017187712714076,-0.3053807318210602,0.95086669921875,0.0,0.0,0.0,-0.3199895827199013,-1.0911842866577262,-0.8200406477679465,22.687475821,0.2093995302290993,0.0950838786870777,0.014350323724588,-8.662495580328489,-29.798865552628275,26.382881030482224,-0.0809434222946722,-0.062015127993198,-0.6189983464105508,0.0085642531283696,-0.0722394466632057,0.0630947196977693,-6.85439272115836,25.834879172942472,-103.45297432712184,0.0006893457288684
4548,1724915343398367450,-0.4839282035827636,0.1368635594844818,0.170163407921791,-0.0476587116718292,-0.0181479509919881,-0.3040929436683655,0.9512763619422911,0.0,0.0,0.0,-0.1789568610884172,-0.6259794237521543,-1.7819978211976812,22.694918757,0.1656735979376806,-0.2357554440931736,0.3489163504319447,-5.031162051886004,-16.914389463510414,22.607931973100445,-0.0798819211537191,-0.0635555675746405,-0.6162634289981489,0.004594010992708,-0.0787393614249261,0.0522340399984937,28.16698321750465,22.299139935395353,-96.0646575480557,0.0003986645861851
4550,1724915343408838003,-0.4838950634002685,0.1361612528562545,0.1705550998449325,-0.0470699779689312,-0.0183197781443595,-0.3028013408184051,0.9517143964767456,0.0,0.0,0.0,0.2517523584555041,-0.9846854186077668,-2.2991203076733564,22.70538931,0.1254214531771898,-0.0072645718323438,0.2565291632820838,20.543770472585265,28.521042884295586,-8.17928997919605,-0.0787393066357769,-0.0634186002792489,-0.6135745443481673,0.0079414438204565,-0.0816507479044705,0.0288207068521142,-8.86664488559381,-29.87067782562613,-16.267488466991963,0.0003187679769372
4552,1724915343418181421,-0.4837810397148132,0.1352768242359161,0.1707527786493301,-0.0443248003721237,-0.0176146551966667,-0.3020000457763672,0.9521139860153198,0.0,0.0,0.0,-0.2479893780253769,-1.227195225177919,-2.174965873166943,22.714732728,0.5207090347321445,0.3150715443584819,0.1854780236660951,17.745555785101285,11.58395392893602,-2.6354921334413035,-0.0739672408777969,-0.0603511316977976,-0.6120682030800743,0.0097271522938164,-0.0967426916042715,0.0068137287872209,-44.57371287216886,-21.00117600934479,73.61527178152825,0.0001119479867174
4554,1724915343428584890,-0.4837085306644439,0.134246215224266,0.1706575155258178,-0.0419929735362529,-0.0173832830041646,-0.3009318113327026,0.9525620937347412,0.0,0.0,0.0,-0.6084729742924355,-1.3882945388319712,-0.7102922669299014,22.725136197,0.4208152871459238,0.1701448807382122,0.215618599235793,-4.2885705298056,-14.82635748830806,2.7599207305852556,-0.0697147740347252,-0.0584245884807836,-0.6099541664760144,0.0020606597403016,-0.1050146502506192,-0.0137239813612142,0.5063438232029505,-1.3215013594372778,213.18488071916693,-0.0001886714975655
4556,1724915343439651873,-0.4837435185909271,0.1330139636993408,0.1704518646001815,-0.0397261343896389,-0.0180758982896804,-0.2995986640453338,0.9530664682388306,0.0,0.0,0.0,-0.1889763122890227,-1.236173520697216,2.5013475469568407,22.73620318,0.4359073611788905,-0.0044836411417507,0.24454683316177,-10.836235795537212,-4.823854378076467,-10.008310624639906,-0.0650485333516631,-0.0582918651181352,-0.6072458860567751,-0.0031611533008693,-0.1273622701318446,-0.0067059483373395,25.408394693810973,74.68716032269029,98.75447903439512,-0.0003111514660019
4558,1724915343448986057,-0.4837730228900909,0.1316990405321121,0.1704827696084976,-0.0386172980070114,-0.0182366613298654,-0.2993549406528473,0.9531856179237366,0.0,0.0,0.0,-0.0501935539304903,-0.0592545286206629,1.9159467115556128,22.745537364,0.2387135378435347,0.0367379912993774,0.0517564195246294,-16.850435905060237,12.831751654957309,-38.2125788721342,-0.062847114611266,-0.0579187813203108,-0.6067849730047367,-0.0026982161144495,-0.1327355811885811,0.0313420353041333,14.924273202819569,44.38387375290315,-181.4002972323261,-8.00242926081265e-05
4560,1724915343458435255,-0.483794093132019,0.1305226236581802,0.1710470616817474,-0.0376965850591659,-0.0174199398607015,-0.3015364706516266,0.952549934387207,0.0,0.0,0.0,0.0913649841790403,-0.4214040535349284,-0.9334324852542096,22.754986562,0.1203887417438226,0.2384877905665158,-0.4772784274615007,6.721499281430344,-0.8929444641859989,3.3676682849049726,-0.0614450089238227,-0.0559497015390464,-0.6114336778876683,-0.0041270537846926,-0.1283557511523412,0.0287820308519322,8.24220669256157,17.68312192513316,-128.90629834854187,0.0004657219786033
4562,1724915343470032143,-0.4838689565658569,0.128979206085205,0.1709405332803726,-0.0352838076651096,-0.0186452083289623,-0.2992218732833862,0.953348696231842,0.0,0.0,0.0,0.0910374031972944,0.5808267515118697,0.0288056211356768,22.76658345,0.4722275180538446,-0.0884594302281468,0.4065584706236443,23.28166070657447,27.86606288448886,14.513774767328032,-0.0562373897499586,-0.0566965143812705,-0.6066590922942047,0.0003850349090583,-0.1458375113734558,0.0085278043964382,-34.36523915393211,191.13692919505607,66.27403014095991,-0.0002261642831218
4564,1724915343478561252,-0.483822762966156,0.1276553720235824,0.1711243838071823,-0.0321086458861827,-0.0173867046833038,-0.2986629605293274,0.9536599516868592,0.0,0.0,0.0,-0.4174587446101199,2.8679144946000954,0.4893085339544736,22.775112559,0.6265291828779581,0.5008620520493027,0.1433154233208012,-5.923242392449019,28.170279438113695,-23.83918922534557,-0.0509477740577392,-0.05236526307276,-0.6056658926407227,-0.0007080623983526,-0.1277840838200301,0.0199098827410324,-28.22512982560885,52.43618164393997,46.65022105601922,8.789212686381747e-05
