seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
12908,1722911428753869033,0.7447922229766846,-0.294886768,0.1584114134311676,0.032852862030267715,0.001416838,0.094735287,-0.994959295,0,0,0,0,0,0
12910,1722911428768187884,0.7448821663856506,-0.294054687,0.15839534997940063,0.032179780304431915,-0.001659601,0.095261224,-0.994930744,0,0,0,0,0,0
12912,1722911428773283729,0.7449851036071777,-0.293171883,0.15837745368480682,0.032987769693136215,-0.002554695,0.095826201,-0.994848132,0,0,0,0,0,0
12914,1722911428786495031,0.7450700998306274,-0.292426378,0.15831147134304047,0.034193102,-0.001365473,0.096113183,-0.994781971,0,0,0,0,0,0
12916,1722911428794671892,0.7451729774475098,-0.291854292,0.15804657340049744,0.034393724,0.000539646,0.095886178,-0.994797826,0,0,0,0,0,0
12918,1722911428804497827,0.7451773285865784,-0.291378319,0.15801052749156952,0.033297591,0.003225008,0.095153019,-0.994900405,0,0,0,0,0,0
12920,1722911428819656821,0.745262086,-0.290722042,0.15782639384269714,0.033947147,0.002037267,0.095734514,-0.99482584,0,0,0,0,0,0
12922,1722911428824939285,0.7454082369804382,-0.290013552,0.15788258612155914,0.032385357,-0.000807712,0.096680433,-0.99478811,0,0,0,0,0,0
12924,1722911428835248774,0.7455028295516968,-0.289514124,0.1579657346010208,0.031146910041570663,-0.001436822,0.097117111,-0.994784534,0,0,0,0,0,0
12926,1722911428843618996,0.7455649971961975,-0.289067537,0.1579146534204483,0.030281696,-0.001874666,0.097364828,-0.994786263,0,0,0,0,0,0
12928,1722911428853634645,0.7456964254379272,-0.288480341,0.157978818,0.032006346,-0.001218516,0.098643608,-0.99460727,0,0,0,0,0,0
12930,1722911428864493943,0.7457606792449951,-0.287923127,0.15809474885463715,0.032001991,-0.001027211,0.099800721,-0.994492173,0,0,0,0,0,0
12932,1722911428968586019,0.7459472417831421,-0.287524074,0.15785031020641327,0.030274976044893265,-0.002258094,0.10013881325721741,-0.994510233,0,0,0,0,0,0
12934,1722911428968812230,0.746113658,-0.287035495,0.15777693688869476,0.028363771736621857,-0.004027152,0.10089525580406189,-0.994484603,0,0,0,0,0,0
12936,1722911428969045005,0.7462514638900757,-0.286683053,0.15740054845809937,0.027641702443361282,-0.003752271,0.10057764500379562,-0.994538128,0,0,0,0,0,0
12938,1722911428969285149,0.7464253902435303,-0.286203206,0.15723662078380585,0.02685605,-0.004953393,0.10110658407211304,-0.994500816,0,0,0,0,0,0
12940,1722911428969530299,0.7465816736221313,-0.285700321,0.15712030231952667,0.026111172512173653,-0.007004928,0.10173549503087997,-0.994444072,0,0,0,0,0,0
12942,1722911428969769357,0.7469079494476318,-0.285010576,0.15725040435791016,0.025609798729419708,-0.010130248,0.10364978760480881,-0.994232476,0,0,0,0,0,0
12944,1722911428970040641,0.7471163272857666,-0.284648031,0.15698625147342682,0.025725990533828735,-0.009319302,0.1039116159081459,-0.994210124,0,0,0,0,0,0
12946,1722911428970278748,0.7473166584968567,-0.2845411,0.1564653217792511,0.025614790618419647,-0.006615917,0.10292321443557739,-0.99433744,0,0,0,0,0,0
12948,1722911428970517141,0.7475957870483398,-0.284133345,0.15640592575073242,0.027692236006259918,-0.004372534,0.10421528667211533,-0.99415952,0,0,0,0,0,0
12950,1722911428970755649,0.7479068636894226,-0.283708841,0.15626759827136993,0.026103822514414787,-0.006485559,0.1047779992222786,-0.994131804,0,0,0,0,0,0
12952,1722911428973441813,0.7482983469963074,-0.283106118,0.1564374715089798,0.025381095707416534,-0.009092546,0.10636505484580994,-0.993961632,0,0,0,0,0,0
12954,1722911429029064838,0.7486894130706787,-0.282931954,0.15592366456985474,0.024467214941978455,-0.008232166,0.1056118980050087,-0.994072378,0,0,0,0,0,0
12956,1722911429029308781,0.7491236329078674,-0.282641411,0.15579073131084442,0.025148555636405945,-0.006218169,0.10568254441022873,-0.994062424,0,0,0,0,0,0
12958,1722911429029536848,0.7495731115341187,-0.282371908,0.15567465126514435,0.024983251467347145,-0.005880195,0.10594017803668976,-0.994041264,0,0,0,0,0,0
12960,1722911429029779846,0.7500543594360352,-0.282039583,0.15563161671161652,0.025670694187283516,-0.005703008,0.10679515451192856,-0.99393326,0,0,0,0,0,0
12962,1722911429030023317,0.750701904,-0.281640708,0.15542858839035034,0.025654865,-0.006156812,0.10741087794303894,-0.993864596,0,0,0,0,0,0
12964,1722911429034628187,0.7513977885246277,-0.281342059,0.15488557517528534,0.027004340663552284,-0.004552141,0.10706105083227158,-0.993875265,0,0,0,0,0,0
12966,1722911429043349473,0.7519986629486084,-0.280821562,0.15476812422275543,0.026114985,-0.005969687,0.10717622935771942,-0.993879139,0,0,0,0,0,0
12968,1722911429055547564,0.7527910470962524,-0.280263305,0.15448829531669617,0.025850174948573112,-0.00722061,0.10774030536413193,-0.993816793,0,0,0,0,0,0
12970,1722911429063468745,0.7534937262535095,-0.279898524,0.15411651134490967,0.025179438292980194,-0.00680381,0.10740011185407639,-0.993873715,0,0,0,0,0,0
12972,1722911429074546218,0.754120409,-0.279398531,0.15392470359802246,0.024832519,-0.007490071,0.10770395398139954,-0.993844628,0,0,0,0,0,0
12974,1722911429083444558,0.754746139,-0.278834462,0.15375763177871704,0.025472884997725487,-0.008615045,0.10871938616037369,-0.99370873,0,0,0,0,0,0
12976,1722911429093848907,0.7553858757019043,-0.278325319,0.1535128951072693,0.023371582850813866,-0.01043956,0.10880625247955322,-0.993733346,0,0,0,0,0,0
12978,1722911429104496469,0.7559411525726318,-0.277712882,0.15348516404628754,0.023045206,-0.013590999,0.1098615825176239,-0.993586779,0,0,0,0,0,0
12980,1722911429113435976,0.7565786838531494,-0.277225137,0.15333889424800873,0.021692786365747452,-0.01652414,0.110412598,-0.993511736,0,0,0,0,0,0
12982,1722911429123764668,0.7571450471878052,-0.277055025,0.1527233123779297,0.021142432,-0.015253524,0.10919570177793503,-0.993678451,0,0,0,0,0,0
12984,1722911429133549656,0.7576689124107361,-0.276409209,0.15253785252571106,0.019533293321728706,-0.019938767,0.11012400686740875,-0.993525922,0,0,0,0,0,0
12986,1722911429143853541,0.7581393122673035,-0.275989354,0.15206246078014374,0.018215023,-0.02192378,0.1101946160197258,-0.993501246,0,0,0,0,0,0
12988,1722911429154054435,0.7586718201637268,-0.275422931,0.15183524787425995,0.017844894900918007,-0.023973215,0.11119872331619263,-0.993348777,0,0,0,0,0,0
12990,1722911429164112679,0.7591402530670166,-0.275080025,0.15133991837501526,0.017358535900712013,-0.024404019,0.11091307550668716,-0.993378758,0,0,0,0,0,0
12992,1722911429172854902,0.7595880031585693,-0.274784237,0.1508234441280365,0.016890283674001694,-0.024934119,0.1102316603064537,-0.993449628,0,0,0,0,0,0
12994,1722911429186691271,0.7599517703056335,-0.274430394,0.15027371048927307,0.016819801181554794,-0.023848047,0.10952184349298477,-0.993555963,0,0,0,0,0,0
12996,1722911429193370555,0.7603085041046143,-0.273931652,0.14999212324619293,0.016180651262402534,-0.025675548,0.11053629964590073,-0.99340862,0,0,0,0,0,0
12998,1722911429204242270,0.7606655955314636,-0.273522526,0.14969341456890106,0.016054185,-0.024691239,0.11105839163064957,-0.993377388,0,0,0,0,0,0
13000,1722911429220181836,0.7609815001487732,-0.273038417,0.14954900741577148,0.015928717330098152,-0.025313146,0.11231574416160583,-0.993222475,0,0,0,0,0,0
13002,1722911429223280763,0.7613585591316223,-0.272279918,0.14961305260658264,0.015483129,-0.02988063,0.11448676884174347,-0.992854655,0,0,0,0,0,0
13004,1722911429233712958,0.7616565227508545,-0.271818787,0.14936967194080353,0.014452846720814705,-0.031450342,0.11494342237710953,-0.992768943,0,0,0,0,0,0
13006,1722911429243977368,0.7619300484657288,-0.271436542,0.1492154449224472,0.012839604169130325,-0.033078227,0.11525926738977432,-0.992701471,0,0,0,0,0,0
13008,1722911429253838306,0.7621397972106934,-0.271247149,0.14870502054691315,0.012017217464745045,-0.031576373,0.11468592286109924,-0.992827177,0,0,0,0,0,0
13010,1722911429264486592,0.7623264789581299,-0.270982713,0.14837399125099182,0.011726520955562592,-0.03056618,0.11442103236913681,-0.992892742,0,0,0,0,0,0
13012,1722911429273042188,0.7625222206115723,-0.270733774,0.14792463183403015,0.011363120749592781,-0.029071923,0.1139330044388771,-0.992998004,0,0,0,0,0,0
13014,1722911429283665513,0.7628227472305298,-0.270522833,0.1473826915025711,0.009553309,-0.028965658,0.11349256336688995,-0.993070543,0,0,0,0,0,0
13016,1722911429295389802,0.7630395293235779,-0.270160675,0.14724834263324738,0.010127076,-0.029758034,0.11380268633365631,-0.993005991,0,0,0,0,0,0
13018,1722911429303280299,0.7633177638053894,-0.269732803,0.147239551,0.010127808898687363,-0.030575745,0.11436627060174942,-0.992916346,0,0,0,0,0,0
13020,1722911429313781902,0.763655424,-0.269123107,0.14762172102928162,0.011023412458598614,-0.032611512,0.11606397479772568,-0.992645025,0,0,0,0,0,0
13022,1722911429322963445,0.7639861106872559,-0.268807262,0.1475043147802353,0.014160424,-0.03073379,0.1162254735827446,-0.992646217,0,0,0,0,0,0
13024,1722911429334663164,0.7642538547515869,-0.268640816,0.14782217144966125,0.016492307,-0.02484595,0.11666174978017807,-0.992723942,0,0,0,0,0,0
13026,1722911429344523254,0.7645677924156189,-0.268296361,0.14814043045043945,0.015256669372320175,-0.02702783,0.11764948815107346,-0.992570102,0,0,0,0,0,0
13028,1722911429353988066,0.7648282647132874,-0.268325716,0.14811816811561584,0.014690374955534935,-0.026416196,0.11774177104234695,-0.992584109,0,0,0,0,0,0
13030,1722911429363901009,0.7650183439254761,-0.268408,0.14802779257297516,0.014691944234073162,-0.025051344,0.11759577691555023,-0.9926368,0,0,0,0,0,0
13032,1722911429374102255,0.7653071880340576,-0.268557698,0.14774134755134583,0.012366744689643383,-0.026243435,0.11726600676774979,-0.992676735,0,0,0,0,0,0
13034,1722911429547672812,0.7655549645423889,-0.268575549,0.14783798158168793,0.011577371507883072,-0.026393075,0.11789631098508835,-0.992607594,0,0,0,0,0,0
13036,1722911429549370526,0.7657650113105774,-0.268591344,0.14789234101772308,0.011057451367378235,-0.026537012,0.11848380416631699,-0.992539823,0,0,0,0,0,0
13038,1722911429549726802,0.765987754,-0.268743664,0.14765949547290802,0.010884335,-0.024727713,0.11797769367694855,-0.992648721,0,0,0,0,0,0
13040,1722911429550095120,0.7662023901939392,-0.268769741,0.14764973521232605,0.011065072380006313,-0.023857666,0.11822115629911423,-0.992639065,0,0,0,0,0,0
13042,1722911429550460099,0.7664849162101746,-0.268753648,0.14770568907260895,0.011220471002161503,-0.023442429,0.11861297488212585,-0.992600381,0,0,0,0,0,0
13044,1722911429550850551,0.7667356133460999,-0.268674493,0.14780621230602264,0.011434133164584637,-0.022775333,0.11925321817398071,-0.992536783,0,0,0,0,0,0
13046,1722911429551325736,0.7670240998268127,-0.268483698,0.14819997549057007,0.011183860711753368,-0.023400668,0.1207008957862854,-0.992350042,0,0,0,0,0,0
13048,1722911429551931682,0.7672655582427979,-0.268478245,0.14811110496520996,0.011653958819806576,-0.022431182,0.12095887959003448,-0.992335618,0,0,0,0,0,0
13050,1722911429552350113,0.7675772905349731,-0.268341869,0.14821428060531616,0.011671246960759163,-0.022610616,0.12202948331832886,-0.992200315,0,0,0,0,0,0
13052,1722911429552588242,0.7678377032279968,-0.268244356,0.14828433096408844,0.011127126403152943,-0.02324751,0.12272230535745621,-0.992106318,0,0,0,0,0,0
13054,1722911429552900649,0.7681522965431213,-0.268150032,0.14832688868045807,0.011177138425409794,-0.022584306,0.12306655198335648,-0.992078483,0,0,0,0,0,0
13056,1722911429553131054,0.7684351801872253,-0.268043578,0.14835113286972046,0.011017004027962685,-0.02265772,0.12341000139713287,-0.992035925,0,0,0,0,0,0
13058,1722911429553382460,0.7687411904335022,-0.268070877,0.1482241302728653,0.010748534463346004,-0.02258355,0.12336153537034988,-0.992046595,0,0,0,0,0,0
13060,1722911429553919094,0.7690284848213196,-0.2679829,0.14835385978221893,0.010948929004371166,-0.022474561,0.12406449764966965,-0.991959214,0,0,0,0,0,0
13062,1722911429554678992,0.7693181037902832,-0.267867178,0.1485348343849182,0.011093638837337494,-0.022717036,0.12504592537879944,-0.991828859,0,0,0,0,0,0
13064,1722911429554920736,0.7695923447608948,-0.267908692,0.14837732911109924,0.011663594283163548,-0.020800859,0.12494345009326935,-0.991877198,0,0,0,0,0,0
13066,1722911429555165475,0.7698800563812256,-0.267836183,0.148475781,0.012299810536205769,-0.019956775,0.12572212517261505,-0.991788566,0,0,0,0,0,0
13068,1722911429555408993,0.7702098488807678,-0.267726362,0.14863252639770508,0.011703409254550934,-0.020500544,0.12671639025211334,-0.991658151,0,0,0,0,0,0
13070,1722911429563897644,0.7704364061355591,-0.267666727,0.14864487946033478,0.012485204264521599,-0.020417362,0.1272927224636078,-0.991576493,0,0,0,0,0,0
13072,1722911429573417150,0.77072382,-0.267600596,0.14868617057800293,0.012690934352576733,-0.020525454,0.1278793066740036,-0.991496086,0,0,0,0,0,0
13074,1722911429583368333,0.770992637,-0.267628938,0.14861838519573212,0.012610560283064842,-0.019339805,0.1278703212738037,-0.991522193,0,0,0,0,0,0
13076,1722911429594738496,0.7712558507919312,-0.267436087,0.1488322913646698,0.013678212650120258,-0.019861039,0.1291542649269104,-0.99133122,0,0,0,0,0,0
13078,1722911429648668058,0.771526039,-0.267391711,0.14891836047172546,0.012997034937143326,-0.019835191,0.12945899367332458,-0.991301239,0,0,0,0,0,0
13080,1722911429649060143,0.7717578411102295,-0.267278224,0.1491076797246933,0.012239506468176842,-0.021195771,0.1301029473543167,-0.991198361,0,0,0,0,0,0
13082,1722911429649301985,0.7720342874526978,-0.267153054,0.14934422075748444,0.010753197,-0.023087187,0.1309637427330017,-0.991059959,0,0,0,0,0,0
13084,1722911429649529659,0.7723023295402527,-0.267116666,0.14949378371238708,0.009936509,-0.023942297,0.13143377006053925,-0.99098599,0,0,0,0,0,0
13086,1722911429649758288,0.7725154161453247,-0.267116815,0.14961226284503937,0.009641336,-0.023786532,0.13171882927417755,-0.990954816,0,0,0,0,0,0
13088,1722911429654214854,0.7727384567260742,-0.267098606,0.14978420734405518,0.009566486,-0.024266616,0.13230274617671967,-0.990866125,0,0,0,0,0,0
13090,1722911429663289485,0.7729646563529968,-0.267054796,0.14992617070674896,0.009242746,-0.024976276,0.13295070827007294,-0.990764856,0,0,0,0,0,0
13092,1722911429673705083,0.7731817364692688,-0.267099738,0.15002954006195068,0.009286893,-0.02443275,0.13349702954292297,-0.990704477,0,0,0,0,0,0
13094,1722911429683984423,0.7734204530715942,-0.26724562,0.1499384194612503,0.009316962,-0.022284936,0.133497417,-0.990754843,0,0,0,0,0,0
13096,1722911429696286242,0.7736842036247253,-0.267174929,0.15008866786956787,0.008641846,-0.022991812,0.13411688804626465,-0.990661085,0,0,0,0,0,0
13098,1722911429703882035,0.7739530205726624,-0.267231762,0.15014897286891937,0.008414956,-0.02163868,0.13424742221832275,-0.990675807,0,0,0,0,0,0
13100,1722911429718776481,0.7742753624916077,-0.267499983,0.14993071556091309,0.009714164,-0.015603275,0.13296769559383392,-0.990949988,0,0,0,0,0,0
13102,1722911429723490382,0.7745189070701599,-0.267553329,0.1499897986650467,0.010080001316964626,-0.01508363,0.13304966688156128,-0.990943372,0,0,0,0,0,0
13104,1722911429733413083,0.774854839,-0.267394483,0.15032079815864563,0.009291035,-0.017492125,0.1346779465675354,-0.990691423,0,0,0,0,0,0
13106,1722911429744060705,0.7751854658126831,-0.267418206,0.15045887231826782,0.009025197,-0.016542651,0.1350620836019516,-0.990657926,0,0,0,0,0,0
13108,1722911429753658197,0.775458038,-0.26733011,0.1507408767938614,0.008519564,-0.018517312,0.1360190510749817,-0.990496516,0,0,0,0,0,0
13110,1722911429764466202,0.7757442593574524,-0.267368883,0.15082980692386627,0.008809138,-0.018279972,0.13638292253017426,-0.990448415,0,0,0,0,0,0
