seq,timestamp,px,py,pz,ox,oy,oz,ow,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,time interval
2812,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,0
2812,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,0
2813,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,0
2813,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,0
2813,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,0
2814,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,9969920
2814,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,0
2814,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,0
2815,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,0
2815,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,0
2815,1721689184768055083,-1.141764045,0.6279706954956055,0.1739112287759781,0.076414354,0.006033242,0.31386634707450867,-0.946368039,0,0,0,0,0,0,0
2816,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,10380032
2816,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,0
2816,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,0
2817,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,0
2817,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,0
2817,1721689184778431039,-1.141835809,0.6286564469337463,0.17378459870815277,0.076965131,0.006427962,0.31410330533981323,-0.946242154,0,0,0,0,0,0,0
2818,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,9449984
2818,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,0
2818,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,0
2819,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,0
2819,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,0
2819,1721689184787885504,-1.14189589,0.6294987201690674,0.17370694875717163,0.077582926,0.006602789,0.3143831491470337,-0.946097553,0,0,0,0,0,0,0
2820,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,10930176
2820,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,0
2820,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,0
2821,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,0
2821,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,0
2821,1721689184798811055,-1.14197886,0.6302861571311951,0.17357110977172852,0.078021929,0.006443095,0.31453144550323486,-0.946013272,0,0,0,0,0,0,0
2822,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,9219840
2822,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,0
2822,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,0
2823,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,0
2823,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,0
2823,1721689184808035494,-1.142102122,0.6312951445579529,0.17337138950824738,0.07855764,0.006413966,0.31489530205726624,-0.945848048,0,0,0,0,0,0,0
2824,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,10650112
2824,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,0
2824,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,0
2825,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,0
2825,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,0
2825,1721689184818687854,-1.142236352,0.6323739290237427,0.17311440408229828,0.079332411,0.006640682,0.31506410241127014,-0.94572562,0,0,0,0,0,0,0
2826,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,8960000
2826,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,0
2826,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,0
2827,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,0
2827,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,0
2827,1721689184827646236,-1.142396688,0.6334813237190247,0.1728484183549881,0.080371954,0.007123984,0.3152925968170166,-0.945558131,0,0,0,0,0,0,0
2828,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,10299904
2828,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,0
2828,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,0
2829,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,0
2829,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,0
2829,1721689184837949507,-1.142570019,0.6346490979194641,0.17256587743759155,0.081224553,0.007373822,0.3154723644256592,-0.945423365,0,0,0,0,0,0,0
2830,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,9639936
2830,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,0
2830,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,0
2831,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,0
2831,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,0
2831,1721689184847584568,-1.142813563,0.6360694169998169,0.17221003770828247,0.081831127,0.007207571,0.3158780336380005,-0.945236921,0,0,0,0,0,0,0
2832,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,10580224
2832,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,0
2832,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,0
2833,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,0
2833,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,0
2833,1721689184858160505,-1.142975807,0.6375637650489807,0.1717906892299652,0.082693838,0.007010182,0.31634488701820374,-0.945007145,0,0,0,0,0,0,0
2834,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,9929984
2834,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,0
2834,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,0
2835,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,0
2835,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,0
2835,1721689184868099776,-1.143175483,0.6392250061035156,0.17111793160438538,0.083541155,0.007619923,0.3160501718521118,-0.945026517,0,0,0,0,0,0,0
2836,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,9339904
2836,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,0
2836,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,0
2837,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,0
2837,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,0
2837,1721689184877438852,-1.143474102,0.6411079168319702,0.17049679160118103,0.085803531,0.007916999,0.3157861530780792,-0.944909632,0,0,0,0,0,0,0
2838,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,10210048
2838,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,0
2838,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,0
2839,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,0
2839,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,0
2839,1721689184887642062,-1.143759847,0.6431485414505005,0.16978517174720764,0.087418854,0.007534969,0.316028357,-0.944683671,0,0,0,0,0,0,0
2840,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,10560000
2840,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,0
2840,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,0
2841,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,0
2841,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,0
2841,1721689184898209113,-1.144015193,0.6450778245925903,0.1691340208053589,0.088220082,0.006760042,0.3159436285495758,-0.944643378,0,0,0,0,0,0,0
2842,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,9590016
2842,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,0
2842,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,0
2843,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,0
2843,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,0
2843,1721689184907791295,-1.144328475,0.6468298435211182,0.16848745942115784,0.08783213,0.006805519,0.3164483606815338,-0.944510341,0,0,0,0,0,0,0
2844,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,10029824
2844,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,0
2844,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,0
2845,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,0
2845,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,0
2845,1721689184917828160,-1.144654632,0.6489360928535461,0.16792723536491394,0.088771753,0.007202655,0.31703341007232666,-0.944223285,0,0,0,0,0,0,0
2846,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,10070016
2846,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,0
2846,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,0
2847,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,0
2847,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,0
2847,1721689184927892032,-1.144898653,0.6513283848762512,0.16720762848854065,0.090709463,0.006950215,0.31639617681503296,-0.944254756,0,0,0,0,0,0,0
2848,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,10310144
2848,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,0
2848,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,0
2849,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,0
2849,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,0
2849,1721689184938205615,-1.145259023,0.6537948250770569,0.16646434366703033,0.092052832,0.007351678,0.3157528042793274,-0.94433707,0,0,0,0,0,0,0
2850,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,9959936
2850,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,0
2850,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,0
2851,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,0
2851,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,0
2851,1721689184948167687,-1.145751476,0.6560560464859009,0.1657187044620514,0.092062503,0.007088243,0.31573620438575745,-0.944343626,0,0,0,0,0,0,0
2852,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,10560000
2852,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,0
2852,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,0
2853,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,0
2853,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,0
2853,1721689184958728660,-1.146166801,0.6580439209938049,0.16515544056892395,0.092258036,0.006101328,0.31564921140670776,-0.944360614,0,0,0,0,0,0,0
2854,1721689184967486474,-1.146504402,0.6599558591842651,0.16477327048778534,0.091894932,0.005520209,0.3167465925216675,-0.944032013,0,0,0,0,0,0,8760064
